33699622;139428327;205202390;112301614;93686957;29538205;53223712;178962644;102964243;307218807;2277624018;1228279481;302258179;1294196224;73447865;153280763;79037370;115044858;35941652;91697009;104286656;441551692;192229527
34470064;140652313;191179882;112436578;89512212;26927377;55595594;174171475;102732515;308652711;2215555959;1184543745;265613158;1353895712;73282913;153309323;78088135;113467051;37236202;89169616;93620582;429712577;185000702
35595033;129181966;183825183;108879494;91075663;29517462;50657473;172448204;99709317;297415091;2187333536;1127758712;280120286;1300064078;71142885;144873374;76953545;92649914;36994752;92772474;103464391;431131837;193590867
37159687;136189432;195588181;121229766;96047458;31998448;55114676;180218172;104552467;320065976;2407816173;1214368402;249941420;1422907239;72142463;160374498;78960953;117202696;38650057;94180755;102416322;465541374;202608940
34660004;141635268;196487163;111155910;92739124;29276050;52660548;176623096;105127830;309865092;2251375493;1195915806;278969196;1281319469;72194497;152667284;72345920;116492799;38107396;91040170;104328997;441461537;196194015
35904486;135831325;201264807;116507323;91833558;28839812;52943408;175736257;101253283;312946186;2332538863;1221716412;252806137;1362141876;73837067;154354670;75438677;121684469;35251613;92582894;106072756;451418068;196661658
36745903;143871609;198853682;121036726;92931328;30561663;54255818;180393753;103713090;324035478;2351530668;1245198566;267230279;1431922312;77153187;156124994;82933626;119447199;38020346;97151541;102273625;463405038;205575582
34923844;137328463;189229159;112995545;89584650;29317434;52834383;172868265;103178973;291804997;2243924063;1200022017;273574971;1291741834;70359864;157115291;75566992;114871115;40350087;94847823;105589385;447397855;200690566
33823684;129448665;191945293;112185247;92089901;30554193;53581901;176715478;98463116;308155188;2217685931;1160776126;304090498;1293297674;75258989;151499535;80481617;101127103;37386130;95012324;109423999;452874090;190497761
35130634;125529808;185841411;109942597;89862024;28088227;52111674;177042781;103279011;301579834;2216129045;1180052886;285899909;1272338950;69371738;152983157;75668176;114130758;40031048;91792406;104241700;443935021;190030389
35076447;136064111;186189679;112150875;81539313;29314584;52454289;171333926;90930692;303134957;2264506855;1220063902;185624140;1289247067;61367501;148056062;59942228;72881018;17086704;61780715;46230013;383293278;188555835
36265865;136314744;197589069;118230152;91904645;30867959;53820432;181243874;103931528;327496532;2323438537;1272827070;231915103;1423149147;74442020;159037899;79631048;114599477;33469317;93889970;86868449;432554170;193478722
37268907;150042833;196941165;121762909;99109789;31759733;55673727;187972463;106295581;324148383;2418643826;1267075760;305405794;1468841979;78421885;164673346;85643033;125195064;40499550;99798411;118825175;484633242;213361902
34243212;125041166;188185356;108696503;83207682;28536939;51719634;168513365;97410011;294260138;2254183145;1167982889;287612871;1319276397;64406899;144066324;71585829;107106714;37733561;86695185;95248850;438422437;190698147
35797143;137465256;186427018;117217696;96617841;26572842;58077340;184085767;105046539;319908660;2346934007;1275525783;314299101;1422832601;72853277;161015756;80390982;113385490;43964419;96522359;111315688;474260013;207281166
34928868;130889378;198577638;116597114;94696360;32626689;55269740;185453299;105929729;322489995;2332443167;1231181207;296038792;1407632908;76718890;160793337;79624810;126076630;39078271;103071635;115532421;486804106;211192234
37314347;138161333;196608073;120552426;96850117;32139273;56947989;184163660;108917723;329083104;2367723807;1247840816;295777579;1439249996;78149429;162188511;85702476;124831118;36850951;104071921;117690812;479183651;211633041
35956212;130379613;185271211;116100222;87278743;29951674;52932268;181108131;103103960;315009080;2306782377;1206554347;280281894;1319570822;75819502;154233749;83225167;120609022;38004712;96836001;109715477;464171243;205284163
36277312;130731817;181550873;117633725;78943193;22750654;54028896;181382516;102913070;316437038;2388068564;1268357688;254438342;1421618548;73766196;163095326;81891500;119469000;37855207;94466052;105726574;460671820;198174765
36780306;129220608;187833108;116928727;91934492;29615641;53581983;179157148;98048365;327563357;2306095834;1259309670;257974230;1418991804;69869632;159815864;75222936;113404012;37404412;93739911;103016005;451060739;198479802
37861951;133219673;184871239;124371916;84925361;29826319;59293761;187466797;103847602;341296595;2474745112;1298436782;218268463;1497587728;71199460;167969030;70539509;89496842;25707299;72799629;65000066;447269007;209461390
36103189;134628407;185635617;114190284;92806670;28711191;54299126;176454099;99571238;307216672;2306612574;1217866885;290504803;1374245035;72152784;153980314;77070084;117684338;39193933;92465641;104739888;461473575;201312207
35586917;128239193;185728386;115182855;91876370;28283483;52285412;177317488;101561993;309992844;2229015410;1210470470;266595336;1384349424;69233634;154893669;75185953;115495477;38224676;94708469;98022771;450059933;198832637
34705763;120989777;185438478;111134854;85135564;24263554;49999274;177325578;96250736;297553683;2230771433;1219093055;257652065;1363307707;66154310;149746550;71848313;111069034;35566194;93881252;98452041;432661134;187396973
36264676;137551755;185686670;116335320;86452983;29797806;53342846;176623587;98731000;319307719;2261382496;1235014048;209846143;1328874096;71296346;156656213;76877122;107482972;33032412;94536265;93216521;413307759;182507941
36264624;123674348;184994050;115031671;89995267;22020941;52231832;177932566;102715162;314846518;2286240628;1227861093;265107572;1412389276;68999643;156059673;73043754;117274867;37705376;96737985;92932655;449321240;192554335
36215097;109085294;175107788;116459126;90962782;21072146;55574619;180199519;90218547;316921564;2320854730;1252666563;283354921;1384432066;64831009;157732982;73164759;111112717;39575299;94690803;94988576;466731981;205025463
